trefwoord	homon	bettr	thema	subthema1	POS	hulpthema	jaarrek	bronboek	status	geleend_uit	leenvorm	opmerking	bron
caballero		heer, ruiter	15. overheid	titels	zelfstandig naamwoord	persoonsaanduiding	1847	KKU	leen	Spaans			CW 2001
cabaret		amusementsgenre	16. kunst	toneelgenre	zelfstandig naamwoord		1914	GVD	leen	Frans			CW 2001
cabine		hokje	9. sociale leven	vertrekken	zelfstandig naamwoord		1895	Broeckaert	leen	Frans			CW 2001
cabochon		halfronde slijpvorm van edelstenen			zelfstandig naamwoord		1824		leen	Frans			EWB2
caboclo		halfbloed van blanke en indiaan			zelfstandig naamwoord		1950		leen	Portugees			EWB2
cabotage		kusthandel			zelfstandig naamwoord		1898		leen	Frans			EWB2
cabotin		rondreizend toneelspeler			zelfstandig naamwoord		1895		leen	Frans			EWB2
cabriolet	b	auto met opvouwbaar dak	10. voortbewegen	transportmiddel	zelfstandig naamwoord		1929	KWT	leen	Frans			CW 2001
cacao		zaad van de cacaoboom en daaruit bereide drank	6. consumptie	overig voedsel	zelfstandig naamwoord		1596	WNT	leen	Spaans			CW 2001
caché					bijvoeglijk naamwoord		1709		leen	Frans			EWB2
cache-pot		omhulsel voor een bloempot			zelfstandig naamwoord		1912		leen	Frans			EWB2
cachelot		potvis			zelfstandig naamwoord		1746		leen	Frans			EWB2
cacheren		bedekken			werkwoord		1824		leen	Frans			EWB2
cachet		stempel	15. overheid	ambtelijke taal	zelfstandig naamwoord		1588	WNT	leen	Frans			CW 2001
cachetteren		verzegelen			werkwoord		1669		leen	Frans			EWB2
cacheur		schilder van coulissen			zelfstandig naamwoord		1992		leen	Frans			EWB2
cachexie		slechte gezondheidstoestand			zelfstandig naamwoord		1907		leen	Latijn			EWB2
cachi		kakivrucht			zelfstandig naamwoord		1986		leen	Italiaans			EWB2
cacholong		melkwitte opaal			zelfstandig naamwoord		1847		leen	Frans			EWB2
cachot		gevangenis	15. overheid	justitie	zelfstandig naamwoord		1698	WNT	leen	Frans			CW 2001
cacimbo		kustnevel			zelfstandig naamwoord		1992		leen	Portugees			EWB2
cacique		Midden-Amerikaans indianenstamhoofd			zelfstandig naamwoord		1596		leen	Spaans			EWB2
cacodemon		boze geest			zelfstandig naamwoord		1950		leen	Grieks			EWB2
cactus		plantenfamilie	2. plantenrijk	planten	zelfstandig naamwoord		1775	WNT toortsplant	leen	Latijn			CW 2001
cadans		ritme	18. muziek		zelfstandig naamwoord		1697	WNT	leen	Frans			CW 2001
