trefwoord	homon	bettr	thema	subthema1	POS	hulpthema	jaarrek	bronboek	status	geleend_uit	leenvorm	opmerking	bron
ad rem		ter zake, snedig	4. mensenwereld	eigenschappen	bijvoeglijk naamwoord		1824	WEI	leen	Latijn			CW 2001
ada					zelfstandig naamwoord				leen	Maleis	ada		Leenwoordenboek 2005
adagio		bijwoord: bedaard	18. muziek		bijwoord		1772	Bouvink	leen	Italiaans			CW 2001
adagium		spreuk	20. taalkunde	overig	zelfstandig naamwoord		1650	MEY	leen	Latijn			CW 2001
Adam		naam van de eerste mens	HOM	VWP	zelfstandig naamwoord		1265-1270		leen	Hebreeuws			EWB2
adamant		edelgesteente			zelfstandig naamwoord		1287		leen	Latijn			EWB2
adaptatie		aanpassing	19. wetenschap		zelfstandig naamwoord		1863	KKU	leen	Frans			CW 2001
adapter		apparaat tussen stekker en stopcontact als de systemen niet passen	13. werk+industrie	apparaten	zelfstandig naamwoord		1979	Wijnands&Ost	leen	Engels			CW 2001
adapteren		aanpassen	19. wetenschap		werkwoord		1847	WNT	leen	Frans			CW 2001
adat		traditie	8. religie		zelfstandig naamwoord		1804	WNT	leen	Maleis			CW 2001
addenda		bijvoegsels			zelfstandig naamwoord		1824		leen	Latijn			EWB2
adderen		optellen			werkwoord		1445		leen	Latijn			EWB2
addiceren		gerechtelijk toekennen			werkwoord		1650		leen	Latijn			EWB2
addict		verslaafde	6. consumptie	drugs	zelfstandig naamwoord	persoonsaanduiding	1984	GNN	leen	Engels			CW 2001
additie		optelling			zelfstandig naamwoord		1445		leen	Frans			EWB2
additief		m.b.t. optelling	19. wetenschap	wiskunde	bijvoeglijk naamwoord		1847	KKU	leen	Frans			CW 2001
additioneel		toegevoegd	19. wetenschap	wiskunde	bijvoeglijk naamwoord		1672	WNT	leen	Frans			CW 2001
adduceren		aanvoeren			werkwoord		1650		leen	Latijn			EWB2
adductie		toevoering			zelfstandig naamwoord		1658		leen	Latijn			EWB2
adé		jongere broer of zuster			zelfstandig naamwoord		1910		leen	Maleis			EWB2
adel		stand der edelen	15. overheid	titels	zelfstandig naamwoord	groepsaanduiding	1447	HWS	leen	Duits			CW 2001
adelaar		roofvogel	3. dierenrijk	vogels	zelfstandig naamwoord	dieraanduiding wild	1477	Teuth.	leen	Duits			CW 2001
adenoïde		m.b.t. klierweefsel			zelfstandig naamwoord		1914		leen	Grieks			EWB2
adenomalacie		klierverweking			zelfstandig naamwoord		1984		leen	Latijn			EWB2
adept		ingewijde	8. religie		zelfstandig naamwoord	persoonsaanduiding	1660	WNT Suppl nalezing	leen	Latijn			CW 2001
adequaat		overeenkomstig	15. overheid	ambtelijke taal	bijvoeglijk naamwoord		1658	MEY	leen	Latijn			CW 2001
adequatie		het adequaat, evenwaardig zijn			zelfstandig naamwoord		1658		leen	Latijn			EWB2
adequeren		vereffenen			werkwoord		1658		leen	Latijn			EWB2
adherent		samenhangend			bijvoeglijk naamwoord		1452-1494		leen	Frans			EWB2
adhereren		aankleven			werkwoord		1501		leen	Frans			EWB2
adhesie	b	aantrekkingskracht; instemming	19. wetenschap	natuurk. proces	zelfstandig naamwoord		1820	WNT	leen	Frans			CW 2001
adhipati		Javaanse titel			zelfstandig naamwoord		1840		leen	Javaans			EWB2
adhortatie		aansporing			zelfstandig naamwoord		1658		leen	Latijn			EWB2
adiabaat		kromme			zelfstandig naamwoord		1992		leen	Grieks			EWB2
adiafora		zedelijk onverschillige gedragingen			zelfstandig naamwoord		1824		leen	Grieks			EWB2
adiëren		aanvaarden			werkwoord		1650		leen	Latijn			EWB2
adieu		tussenwerpsel: groet	20. taalkunde		tussenwerpsel		1475	HWS	leen	Frans			CW 2001
adipati					zelfstandig naamwoord				leen	Javaans	adipati		Leenwoordenboek 2005
adipeus		zwaarlijvig			bijvoeglijk naamwoord		1847		leen	Frans			EWB2
adipocire		lijkenvet			zelfstandig naamwoord		1865		leen	Frans			EWB2
adipsie		vermindering van het dorstgevoel			zelfstandig naamwoord		1745		leen	Frans			EWB2
adjacent		aangrenzend			bijvoeglijk naamwoord		1847		leen	Latijn			EWB2
adjectief		BNW	20. taalkunde	overig	zelfstandig naamwoord		1576	Colloquien oft tsamensprekingen (...) in ses spraken	leen	Latijn			CW 2001
adjudant		officier van de staf	14. leger		zelfstandig naamwoord	persoonsaanduiding	1706	WNT	leen	Frans			CW 2001
adjudicatie		gerechtelijke toewijzing			zelfstandig naamwoord		1650		leen	Frans			EWB2
adjudiceren		gerechtelijk toewijzen			werkwoord		1571		leen	Latijn			EWB2
adjunct		toegevoegd functionaris	15. overheid	ambtelijke taal	bijvoeglijk naamwoord		1503	Boutillier	leen	Latijn			CW 2001
adjungeren		als helper toevoegen			werkwoord		1498		leen	Latijn			EWB2
adjustage		het adjusteren			zelfstandig naamwoord		1847		leen	Frans			EWB2
adjusteren		in overeenstemming brengen			werkwoord		1597		leen	Latijn			EWB2
adjuvans		indirect bevorderend geneesmiddel			zelfstandig naamwoord		1847		leen	Latijn			EWB2
adminiculum		hulpmiddel			bijvoeglijk naamwoord		1635		leen	Latijn			EWB2
administrateur		bestuurder	15. overheid		zelfstandig naamwoord	persoonsaanduiding	1540	WNT Suppl	leen	Frans			CW 2001
administratie		bestuur	15. overheid		zelfstandig naamwoord	groepsaanduiding	1299	CG I4, 2709	leen	Frans			CW 2001
administratief		m.b.t. de administratie	15. overheid	ambtelijke taal	bijvoeglijk naamwoord		1805	MEY	leen	Frans			CW 2001
administrator		plaatsvervanger van een bisschop			zelfstandig naamwoord		1562		leen	Latijn			EWB2
administreren		besturen	15. overheid	ambtelijke taal	werkwoord		1488	HWS	leen	Frans			CW 2001
admiraal		opperbevelhebber van oorlogsvloot	14. leger		zelfstandig naamwoord	persoonsaanduiding	1492	WNT Suppl	leen	Frans		huidige bet en vorm	CW 2001
admiraliteit					zelfstandig naamwoord				leen	Frans	amirauté		Leenwoordenboek 2005
admirant		admiraal			zelfstandig naamwoord		1824		leen	Spaans			EWB2
admiratie		bewondering			zelfstandig naamwoord		1600		leen	Frans			EWB2
admissibel		toelaatbaar			bijvoeglijk naamwoord		1824		leen	Frans			EWB2
admissie		toelating	15. overheid	ambtelijke taal	zelfstandig naamwoord		1460-1486	MNW verhalen	leen	Frans			CW 2001
admitteren		toelaten			werkwoord		1482		leen	Latijn			EWB2
admodiatie		belastingheffing op grond van raming			zelfstandig naamwoord		1634		leen	Latijn			EWB2
admoneren		een wenk geven			werkwoord		1650		leen	Latijn			EWB2
admorticatie		het overgaan van goederen in handen van de kerk			zelfstandig naamwoord		1529		leen	Latijn			EWB2
adobe		in de zon gedroogde steen			zelfstandig naamwoord		1968		leen	Spaans			EWB2
adolescent		jongeling	4. mensenwereld	familie	zelfstandig naamwoord	persoonsaanduiding	1886	KKU	leen	Frans			CW 2001
adolescentie		jeugdjaren	4. mensenwereld	familie	zelfstandig naamwoord		1847	KKU	leen	Latijn			CW 2001
Adonai					zelfstandig naamwoord				leen	Hebreeuws	’adonāy		Leenwoordenboek 2005
Adonaj		naam van Israëlieten voor Jahweh			zelfstandig naamwoord		1824		leen	Hebreeuws			EWB2
Adonis		schone jongeling in de Griekse mythologie	HOM	PER	zelfstandig naamwoord		1666		leen	Grieks			EWB2
adopteren		aannemen als kind	4. mensenwereld	familie	werkwoord		1553	Van Mussem	leen	Frans			CW 2001
adoptie		aanneming als kind	4. mensenwereld	familie	zelfstandig naamwoord		1566	WNT voorzicht	leen	Frans			CW 2001
adoptief		aangenomen (als kind)	4. mensenwereld	familie	bijvoeglijk naamwoord		1503	Boutillier	leen	Frans			CW 2001
adorabel		aanbiddelijk	4. mensenwereld	eigenschappen	bijvoeglijk naamwoord		1720	MEY	leen	Frans			CW 2001
adorateur		aanbidder			zelfstandig naamwoord		1669		leen	Frans			EWB2
adoratie		aanbidding	4. mensenwereld	eigenschappen	zelfstandig naamwoord		1553	Vd Werve	leen	Frans			CW 2001
adoreren		aanbidden	8. religie		werkwoord		1553	Vd Werve	leen	Frans			CW 2001
adosseren		door aantekening aan de keerzijde overdragen			werkwoord		1950		leen	Frans			EWB2
adouceren		verzachten			werkwoord		1824		leen	Frans			EWB2
adrenaline					zelfstandig naamwoord				leen	Latijn	ad renes		Leenwoordenboek 2005
adres		woon- of verblijfplaats	21. communicatie	schriftelijk	zelfstandig naamwoord		1574	Claes	leen	Frans			CW 2001
adresseren		aan iem. richten	21. communicatie	schriftelijk	werkwoord		1512	HWS	leen	Frans			CW 2001
adret		flink			bijvoeglijk naamwoord		1698		leen	Frans			EWB2
adsorbaat		geadsorbeerde stof			zelfstandig naamwoord		1970		leen	Engels			EWB2
adsorbent		adsorberende stof			zelfstandig naamwoord		1970		leen	Engels			EWB2
adsorberen		aan de oppervlakte vasthouden			werkwoord		1927		leen	Frans			EWB2
adsorptie		binding van een stof aan de oppervlakte van een andere stof			zelfstandig naamwoord		1916		leen	Frans			EWB2
adspirant					zelfstandig naamwoord				leen	Frans	aspirant		Leenwoordenboek 2005
adstringentia		samentrekkende geneesmiddelen			zelfstandig naamwoord		1824		leen	Latijn			EWB2
adstructie		toelichting, staving	15. overheid	ambtelijke taal	zelfstandig naamwoord		1683	WNT	leen	Latijn			CW 2001
adstrueren		toelichten	15. overheid	ambtelijke taal	werkwoord		1656	WNT	leen	Latijn			CW 2001
adulaar		maansteen			zelfstandig naamwoord		1847		leen	Duits			EWB2
adulatie		vleiende verering			zelfstandig naamwoord		1669		leen	Frans			EWB2
aduleren		slaafs vereren			werkwoord		1669		leen	Frans			EWB2
adult		volwassen			bijvoeglijk naamwoord		1961		leen	Frans			EWB2
advance party					zelfstandig naamwoord				leen	Engels	advance party		Leenwoordenboek 2005
advent		naderende komst (des Heren)	8. religie		zelfstandig naamwoord		1236	CG I1, 25	leen	Latijn			CW 2001
adventief		toevallig aangekomen			bijvoeglijk naamwoord		1865		leen	Frans			EWB2
adverbiaal		bijwoordelijk	20. taalkunde	overig	bijvoeglijk naamwoord		1895	WNT	leen	Frans			CW 2001
adverbium		bijwoord	20. taalkunde	overig	zelfstandig naamwoord		1633	Ruijs	leen	Latijn			CW 2001
adversaria		mengelwerk			zelfstandig naamwoord		1824		leen	Latijn			EWB2
advertentie		aankondiging in krant e.d.	21. communicatie	schriftelijk	zelfstandig naamwoord		1785	WNT Suppl	leen	Frans		huidige bet.	CW 2001
adverteren		openbaar bekendmaken	21. communicatie	schriftelijk	werkwoord		1451	HWS	leen	Frans			CW 2001
advertorial		advertentie die gepresenteerd wordt als redactionele tekst	21. communicatie	schriftelijk	zelfstandig naamwoord		1988	De Coster 1999	leen	Engels			CW 2001
advies		mening, raad	15. overheid	ambtelijke taal	zelfstandig naamwoord		1265-1270	CG Lut.K	leen	Latijn			CW 2001
adviseur					zelfstandig naamwoord				pseudo-ontlening	pseudo-Frans			Leenwoordenboek 2005
advocaat	1	rechtsgeleerde	15. overheid	justitie	zelfstandig naamwoord	persoonsaanduiding	1265-1270	CG Lut.K	leen	Latijn			CW 2001
advocatuur		werkkring van een advocaat	15. overheid	justitie	zelfstandig naamwoord	groepsaanduiding	1924	GVD	leen	Duits			CW 2001
adynamie		spierzwakte			zelfstandig naamwoord		1824		leen	Latijn			EWB2
aegis		schild met medusahoofd, bescherming			zelfstandig naamwoord		1824		leen	Latijn			EWB2
Aeneas					zelfstandig naamwoord				leen	Latijn	Aeneas		Leenwoordenboek 2005
aeolis		soort van zeeslak			zelfstandig naamwoord		1862		leen	Latijn			EWB2
aepyornis		uitgestorven reuzenvogel van Madagaskar			zelfstandig naamwoord		1912		leen	Latijn			EWB2
aëratie		bodemademhaling			zelfstandig naamwoord		1901		leen	Frans			EWB2
aerobics		gymnastische dans die de ademhaling bevordert	22. sport+spel	buitensport	zelfstandig naamwoord		1984	GNN	leen	Engels			CW 2001
aërodroom		vliegveld			zelfstandig naamwoord		1912		leen	Frans			EWB2
aëroob		de zuurstof rechtstreeks onttrekkend aan de omgeving	19. wetenschap	natuurwetenschappen	bijvoeglijk naamwoord		1909	WNT reincultuur	leen	Frans			CW 2001
aëroplaan		vliegmachine	10. voortbewegen	transportmiddel	zelfstandig naamwoord		1911	WNT	leen	Frans			CW 2001
aërostaat		luchtschip			zelfstandig naamwoord		1824		leen	Frans			EWB2
aeschrologie		het uiten van ontuchtige taal			zelfstandig naamwoord		1992		leen	Grieks			EWB2
Aeschylus					zelfstandig naamwoord				leen	Latijn	Aeschylus		Leenwoordenboek 2005
Aesculaap		Griekse god der geneeskunst			zelfstandig naamwoord		1285		leen	Latijn			EWB2
Aesopus					zelfstandig naamwoord				leen	Latijn	Aesopus		Leenwoordenboek 2005
afasie		onvermogen tot taalgebruik	20. taalkunde	overig	zelfstandig naamwoord		1863	KKU	leen	Latijn			CW 2001
afchecken					werkwoord				leen	Engels	to check off		Leenwoordenboek 2005
afdampen					werkwoord				leen	Duits	abdampfen		Leenwoordenboek 2005
aferesis		wegval van beginletters			zelfstandig naamwoord		1824		leen	Latijn			EWB2
affabel		vriendelijk, aanspreekbaar			bijvoeglijk naamwoord		1824		leen	Frans			EWB2
affabile		lieflijk	18. muziek		bijwoord		1847	KKU	leen	Italiaans			CW 2001
affaire		zaak	15. overheid	justitie	zelfstandig naamwoord		1300	MNW	leen	Frans			CW 2001
affect		gemoedsaandoening	19. wetenschap	medisch	zelfstandig naamwoord		1557	WNT Suppl	leen	Latijn		huidige bet	CW 2001
affectatie		gemaaktheid	4. mensenwereld	eigenschappen	zelfstandig naamwoord		1699	WNT	leen	Frans			CW 2001
affecteren		voorgeven	19. wetenschap		werkwoord		1582	WNT	leen	Frans			CW 2001
affectie		genegenheid	4. mensenwereld	eigenschappen	zelfstandig naamwoord		1433	HWS	leen	Frans			CW 2001
affectueus		toegenegen			bijvoeglijk naamwoord		1301-1400		leen	Frans			EWB2
afferent		toevoerend			bijvoeglijk naamwoord		1950		leen	Frans			EWB2
affettuoso		met veel gevoel	18. muziek		bijwoord		1772	Bouvink	leen	Italiaans			CW 2001
affiche		aanplakbiljet	21. communicatie	schriftelijk	zelfstandig naamwoord		1823	WNT	leen	Frans			CW 2001
afficheren		aanplakken	21. communicatie	schriftelijk	werkwoord		1864	WNT Suppl	leen	Frans			CW 2001
affidavit		attest	15. overheid	justitie	zelfstandig naamwoord		1832	WEI	leen	Latijn			CW 2001
affien		verwant			bijvoeglijk naamwoord		1495		leen	Latijn			EWB2
affiliatie		aanneming (als kind)			zelfstandig naamwoord		1824		leen	Frans			EWB2
affiliëren		als kind aannemen	4. mensenwereld	familie	werkwoord		1824	WEI	leen	Frans			CW 2001
affinage		het affineren			zelfstandig naamwoord		1746		leen	Frans			EWB2
affineren		zuiveren			werkwoord		1462		leen	Frans			EWB2
affiniteit		verwantschap	4. mensenwereld	eigenschappen	zelfstandig naamwoord		1553	Vd Werve	leen	Frans			CW 2001
affirmatie		bevestiging			zelfstandig naamwoord		1482		leen	Frans			EWB2
affirmatief		bevestigend	15. overheid	ambtelijke taal	bijvoeglijk naamwoord		1656	WNT	leen	Frans		huidige bet en vorm	CW 2001
affirmeren		bevestigen	15. overheid	ambtelijke taal	werkwoord		1353	HWS	leen	Frans			CW 2001
affix		toevoegsel	20. taalkunde	overig	zelfstandig naamwoord		1911	Gonggrijp, Brieven van Opheffer aan de Redactie van het Bataviaasch Nieuwsblad, 140-41	leen	Latijn			CW 2001
afflictie		hartzeer			zelfstandig naamwoord		1650		leen	Frans			EWB2
affluentie		toeloop			zelfstandig naamwoord		1847		leen	Frans			EWB2
affodil		slaaplelie			zelfstandig naamwoord		1543		leen	Latijn		Claes Tw 12	EWB2
affoleren		dol maken			werkwoord		1265-1270		leen	Frans			EWB2
affreus		afschuwelijk	4. mensenwereld	eigenschappen	bijvoeglijk naamwoord		1785	WNT	leen	Frans			CW 2001
affront					zelfstandig naamwoord				leen	Frans	affront		Leenwoordenboek 2005
affronteren		krenken	4. mensenwereld		werkwoord		1678	WNT	leen	Frans			CW 2001
affuit		onderstel van een vuurmond	14. leger	wapens	zelfstandig naamwoord		1564	WNT Suppl	leen	Frans			CW 2001
affutage		onderstel voor stukken geschut			zelfstandig naamwoord		1809		leen	Frans			EWB2
afgezant		(van staatswege) afgevaardigde	15. overheid		zelfstandig naamwoord	persoonsaanduiding	1637	WNT	leen	Duits			CW 2001
afghani		munteenheid van Afghanistan	12. handel	muntnamen	zelfstandig naamwoord		1925	Enc. Munten en Bankbiljetten	leen	Afghaans			CW 2001
afgodisch					bijvoeglijk naamwoord				leen	Duits	abgöttisch		Leenwoordenboek 2005
aficionado		bewonderaar, fan	22. sport+spel		zelfstandig naamwoord	persoonsaanduiding	1986	De Coster 1999	leen	Spaans			CW 2001
afijn					tussenwerpsel				leen	Frans	enfin		Leenwoordenboek 2005
afkeer		weerzin	4. mensenwereld	eigenschappen	zelfstandig naamwoord		1611-1620	WNT	leen	Duits			CW 2001
afkicken		ontwennen van drugs	6. consumptie	drugs	werkwoord		1968	R75	leen	Engels			CW 2001
aflevering					zelfstandig naamwoord				leen	Duits	Ablieferung		Leenwoordenboek 2005
afnemer		koper	12. handel	beroepen	zelfstandig naamwoord	persoonsaanduiding	1903	WNT Suppl	leen	Duits			CW 2001
afnokken		weggaan	10. voortbewegen		werkwoord		1937	WNT	leen	Engels			CW 2001
afoe		trekje van sigaret			zelfstandig naamwoord				leen	Sranantongo	afu		Leenwoordenboek 2005
afonie		onvermogen om te spreken of zingen			zelfstandig naamwoord		1824		leen	Latijn			EWB2
afoon		zonder stem			zelfstandig naamwoord		1855		leen	Grieks			EWB2
aforisme		korte spreuk	20. taalkunde	overig	zelfstandig naamwoord		1615	WNT	leen	Latijn			CW 2001
africano		marmersoort			zelfstandig naamwoord		1961		leen	Italiaans			EWB2
Afrika		werelddeel			zelfstandig naamwoord		1201-1250		leen	Latijn			EWB2
afrodisiacum		geslachtsdrift stimulerend middel	4. mensenwereld	seks	zelfstandig naamwoord		1824	WEI	leen	Latijn			CW 2001
afrodisie		seksuele opwinding			zelfstandig naamwoord		1824		leen	Grieks			EWB2
afrolook		sterk krullende haarstijl			zelfstandig naamwoord		1994		leen	Engels			EWB2
afrorock		combinatie van rock en Afrikaanse muziek	18. muziek	muzieksoort	zelfstandig naamwoord		1992	De Coster 1992	leen	Engels			CW 2001
afschatten					werkwoord				leen	Duits	abschätzen		Leenwoordenboek 2005
afschieten					werkwoord				leen	Duits	abschießen		Leenwoordenboek 2005
afschuw		gevoel van afkeer	4. mensenwereld	eigenschappen	zelfstandig naamwoord		1736	WNT	leen	Duits			CW 2001
afslachten					werkwoord				leen	Duits	abschlachten		Leenwoordenboek 2005
aft		spruw	19. wetenschap	kwalen	zelfstandig naamwoord		1896	KUI	leen	Latijn			CW 2001
aftaaien		weggaan	10. voortbewegen		werkwoord		1974	Endt	leen	Engels			CW 2001
after all					anders				leen	Engels	after all		Leenwoordenboek 2005
aftershave		scheerlotion	9. sociale leven	hygiëne	zelfstandig naamwoord		1965	R75	leen	Engels			CW 2001
afvallig		ontrouw	8. religie		bijvoeglijk naamwoord		1637	WNT	leen	Duits			CW 2001
afwerpen		laten vallen			werkwoord				leen	Duits	abwerfen		Leenwoordenboek 2005
afzelia		boomsoort			zelfstandig naamwoord		1949		leen	Latijn			EWB2
afzet		het verkopen	12. handel		zelfstandig naamwoord		1847	Vd Sijs 1996	leen	Duits			CW 2001
afzinken					werkwoord				leen	Duits	absinken		Leenwoordenboek 2005
afzwakken					werkwoord				leen	Duits	abschwächen		Leenwoordenboek 2005
aga		titel			zelfstandig naamwoord		1824		leen	Turks			EWB2
agaam		zich ongeslachtelijk voortplantend			bijvoeglijk naamwoord		1928		leen	Latijn			EWB2
agaat		kwartsgesteente	1. aardrijk	stenen	zelfstandig naamwoord		1240	Bern.	leen	Frans			CW 2001
agaceren		prikkelen			werkwoord		1847		leen	Frans			EWB2
agame		soort hagedis			zelfstandig naamwoord		1765		leen	Spaans			EWB2
agameten		producten van multiple celdeling			zelfstandig naamwoord		1961		leen	Frans			EWB2
agamie		ongehuwde staat			zelfstandig naamwoord		1847		leen	Grieks			EWB2
agape		liefdemaal bij de eerste christenen			zelfstandig naamwoord		1824		leen	Latijn			EWB2
agar-agar		gedroogd zeewier, de gelatine daaruit gemaakt	6. consumptie	overig voedsel	zelfstandig naamwoord		1765	WNT	leen	Maleis			CW 2001
agave		vetplant	2. plantenrijk	planten	zelfstandig naamwoord		1852	WNT	leen	Latijn			CW 2001
agel		vezelstof			zelfstandig naamwoord		1642		leen	Maleis			EWB2
agenda		aantekenboek	21. communicatie	schriftelijk	zelfstandig naamwoord		1769	WNT	leen	Latijn			CW 2001
agens		werkende kracht	19. wetenschap	natuurwetenschappen	zelfstandig naamwoord		1829	WNT vocatief	leen	Latijn			CW 2001
agent	a	vertegenwoordiger, politie	12. handel	beroepen	zelfstandig naamwoord	persoonsaanduiding	1554	Stallaert	leen	Frans			CW 2001
agentiën		werkende middelen			zelfstandig naamwoord		1844		leen	Latijn			EWB2
agentuur		handelsvertegenwoordiging	12. handel	bedrijf	zelfstandig naamwoord		1847	KKU	leen	Duits			CW 2001
